270152319,Brasil
392947836,"New Haven, CT"
120363649,Nord-Pas-de-Calais 
2361387547,
3195911248,Киев
299262442,
4266458920,"Boden, Sverige"
205702677,FREE EUROPE
482133423,University of Dundee
214075458,"Raleigh, NC"
35101952,"Guatemala city, Guatemala"
3124105012,Vienna - Wien. Austria
454934654,"Uppsala, Sweden"
89121631,Toulouse France
138140942,En Globo
220062050,
15095968,
484872080,"Paris, France"
520841963,Colombia.
1688263903,Abidjan Cote d'Ivoire
1698970256,
97063201,Ottawa
1114523520,Bretagne
18459441,
2166255837,Australia
2282164624,"Deep in Zone 4 - rural, almost"
484013613,
137621147,Pääosin Suomi
327088481,Costa Rica
791668544,"Paris, France"
405277565,"POPAYÁN, COLOMBIA"
2875258084,
3387103227,"Bonn, Germany"
125592597,New Delhi
4275713056,
2821274061,
324050992,
3090027050,
246580851,Paris/Cairo/Chicago
3157746047,"Lansing, MI "
830440621,
133226597,France
233547379,
2771239317,
633580141,Bilbao
2570461169,GLOBAL VILLAGE AWARENESS
4339043357,Paris - Le Bourget
3172778975,England
44192763,Toronto
1548953197,Paris
2184248816,TREGOR
212041664,"Java Bali Systems, Indonesia"
3011168295,
2512871034,
38036176,Left Coast
3423504670,"Blacksburg, VA"
3298257620,
934097726,Brussels
29058869,
2190056131,"Warsaw, Poland"
37811000,"NYC, Super Power Land"
285117491,Paris 
25904579,Everywhere
1032908953,
545416888,"England, United Kingdom"
38418472,"Totnes, Devon. UK"
2223274866,Leipzig
16730638,"Perth, Aust mostly"
426810123,Bretagne et Pays de la Loire
285199700,Helsinki
108332510, France
1061225234,Montreal
3763652653,"San José, Costa Rica"
2827497801,"Sarnia, Ontario "
2553151,Worldwide 
2225134529,"Asturias, Spain, Europe"
789462536,"New York, NY"
583799472,Paris
41109198,Podgorica 
4113112659,"São Paulo, Brasil"
1092620652,Manchester
2190284400,
171656520,US East Coast ~ Philly native
2460060733,"Abidjan, Côte d'Ivoire"
2729774775,
